"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.05.2026","1.101,49","1.103,79","1.104,33","1.096,59","19,29B","-0,24%"
"07.05.2026","1.104,09","1.101,64","1.105,95","1.093,46","26,97B","0,15%"
"06.05.2026","1.102,42","1.105,18","1.106,94","1.092,29","44,19B","-0,29%"
"05.05.2026","1.105,63","1.094,40","1.108,92","1.081,82","46,07B","1,02%"
"04.05.2026","1.094,42","1.112,70","1.118,33","1.090,13","41,96B","-2,24%"
"30.04.2026","1.119,49","1.111,27","1.125,20","1.111,27","43,83B","0,80%"
"29.04.2026","1.110,57","1.137,63","1.141,11","1.106,01","76,58B","-2,35%"
"28.04.2026","1.137,27","1.150,55","1.152,50","1.135,51","50,77B","-1,16%"
"27.04.2026","1.150,64","1.139,66","1.153,48","1.136,32","30,54B","0,94%"
"24.04.2026","1.139,93","1.166,55","1.169,37","1.138,52","53,75B","-2,29%"
"23.04.2026","1.166,66","1.160,09","1.168,16","1.160,09","31,35B","0,58%"
"22.04.2026","1.159,98","1.164,94","1.169,39","1.159,98","37,77B","-0,40%"
"21.04.2026","1.164,68","1.152,52","1.167,23","1.146,15","51,65B","1,02%"
"20.04.2026","1.152,97","1.131,77","1.154,63","1.129,92","50,67B","2,19%"
"17.04.2026","1.128,29","1.135,14","1.142,18","1.124,84","68,74B","-0,58%"
"16.04.2026","1.134,92","1.149,94","1.157,47","1.133,51","51,29B","-1,09%"
"15.04.2026","1.147,48","1.131,86","1.149,65","1.124,64","44,98B","1,37%"
"14.04.2026","1.131,92","1.125,44","1.133,59","1.116,81","41,88B","0,63%"
"13.04.2026","1.124,88","1.117,29","1.124,88","1.108,70","45,83B","0,85%"
"10.04.2026","1.115,41","1.107,78","1.117,14","1.102,89","33,79B","0,83%"
"09.04.2026","1.106,27","1.111,21","1.114,51","1.099,70","45,07B","-0,55%"
"08.04.2026","1.112,40","1.110,38","1.114,01","1.103,66","46,72B","-0,59%"
"07.04.2026","1.118,98","1.114,26","1.121,84","1.111,83","56,87B","0,42%"
"06.04.2026","1.114,34","1.087,41","1.115,70","1.085,70","58,93B","2,16%"
"03.04.2026","1.090,79","1.088,75","1.091,36","1.079,14","58,38B","0,26%"
"02.04.2026","1.087,97","1.086,04","1.089,21","1.082,89","51,71B","0,33%"
"01.04.2026","1.084,37","1.075,44","1.086,01","1.071,98","54,92B","0,74%"
"31.03.2026","1.076,44","1.085,85","1.085,85","1.071,96","59,81B","-0,81%"
"30.03.2026","1.085,27","1.084,21","1.092,67","1.077,63","68,08B","0,21%"
"27.03.2026","1.082,99","1.082,26","1.085,37","1.067,69","72,05B","0,02%"
"26.03.2026","1.082,72","1.109,00","1.111,39","1.079,51","67,97B","-2,32%"
"25.03.2026","1.108,42","1.105,06","1.109,12","1.101,91","40,68B","0,38%"
"24.03.2026","1.104,24","1.090,18","1.106,30","1.087,40","55,56B","1,29%"
"23.03.2026","1.090,17","1.072,83","1.090,33","1.051,79","119,43B","1,46%"
"20.03.2026","1.074,43","1.066,48","1.076,71","1.063,73","59,16B","0,86%"
"19.03.2026","1.065,32","1.093,33","1.096,34","1.063,63","99,21B","-2,11%"
"18.03.2026","1.088,29","1.095,77","1.105,76","1.086,61","85,80B","-0,83%"
"17.03.2026","1.097,45","1.111,00","1.113,57","1.096,88","44,57B","-1,05%"
"16.03.2026","1.109,15","1.130,15","1.134,52","1.108,14","70,72B","-1,64%"
"13.03.2026","1.127,70","1.144,80","1.151,96","1.126,57","50,24B","-1,45%"
"12.03.2026","1.144,30","1.139,20","1.146,41","1.139,20","45,59B","0,63%"
"11.03.2026","1.137,11","1.142,36","1.149,80","1.136,20","51,74B","-0,41%"
"10.03.2026","1.141,77","1.149,79","1.150,85","1.136,24","80,75B","-0,69%"
"09.03.2026","1.149,71","1.160,47","1.160,47","1.142,67","78,09B","1,21%"
"06.03.2026","1.135,95","1.138,90","1.149,88","1.135,12","94,25B","-0,20%"
"05.03.2026","1.138,17","1.138,30","1.144,90","1.136,79","53,29B","0,04%"
"04.03.2026","1.137,70","1.146,54","1.151,84","1.135,28","64,93B","-0,79%"
"03.03.2026","1.146,74","1.163,52","1.163,74","1.144,93","93,18B","-0,93%"
"02.03.2026","1.157,51","1.148,68","1.162,27","1.148,68","115,83B","1,44%"
"27.02.2026","1.141,13","1.137,47","1.145,34","1.135,94","41,38B","0,29%"
"26.02.2026","1.137,83","1.152,14","1.154,90","1.136,63","34,98B","-1,20%"
"25.02.2026","1.151,61","1.142,86","1.152,83","1.142,86","48,75B","0,87%"
"24.02.2026","1.141,69","1.142,43","1.153,13","1.139,49","48,99B","0,04%"
"20.02.2026","1.141,28","1.140,77","1.145,22","1.137,87","48,21B","0,14%"
"19.02.2026","1.139,74","1.150,56","1.155,42","1.139,23","50,41B","-0,86%"
"18.02.2026","1.149,63","1.135,68","1.150,08","1.132,18","58,17B","1,27%"
"17.02.2026","1.135,20","1.144,87","1.147,79","1.135,20","48,91B","-0,77%"
"16.02.2026","1.144,06","1.138,29","1.144,42","1.134,57","59,73B","0,98%"
"13.02.2026","1.132,99","1.127,63","1.135,07","1.121,39","79,42B","0,38%"
"12.02.2026","1.128,73","1.121,16","1.130,58","1.116,96","44,71B","0,65%"
"11.02.2026","1.121,48","1.109,14","1.127,13","1.109,14","70,71B","1,16%"
"10.02.2026","1.108,58","1.105,95","1.111,76","1.102,00","52,26B","0,25%"
"09.02.2026","1.105,77","1.118,43","1.118,43","1.103,68","41,70B","-1,12%"
"06.02.2026","1.118,33","1.127,33","1.129,59","1.116,76","45,64B","-0,71%"
"05.02.2026","1.126,36","1.134,84","1.134,84","1.114,39","65,63B","-0,95%"
"04.02.2026","1.137,17","1.140,71","1.147,35","1.135,19","66,71B","-0,26%"
"03.02.2026","1.140,14","1.135,41","1.142,83","1.135,41","61,14B","0,69%"
"02.02.2026","1.132,34","1.151,63","1.156,60","1.131,11","65,78B","-2,18%"
"30.01.2026","1.157,53","1.159,67","1.165,95","1.148,61","73,33B","-0,15%"
"29.01.2026","1.159,29","1.157,81","1.177,80","1.154,69","143,30B","0,67%"
"28.01.2026","1.151,60","1.145,17","1.153,38","1.144,28","58,67B","0,61%"
"27.01.2026","1.144,58","1.147,23","1.153,16","1.140,73","62,28B","-0,23%"
"26.01.2026","1.147,25","1.152,91","1.153,40","1.144,44","47,83B","-0,44%"
"23.01.2026","1.152,34","1.146,27","1.153,07","1.144,13","30,34B","0,49%"
"22.01.2026","1.146,77","1.126,28","1.150,40","1.119,39","56,69B","1,85%"
"21.01.2026","1.125,93","1.108,92","1.127,79","1.107,03","64,57B","1,59%"
"20.01.2026","1.108,33","1.112,74","1.112,88","1.105,05","45,00B","-0,53%"
"19.01.2026","1.114,20","1.107,69","1.116,43","1.105,24","43,00B","0,70%"
"16.01.2026","1.106,46","1.084,55","1.107,79","1.084,53","48,83B","2,10%"
"15.01.2026","1.083,66","1.083,16","1.087,18","1.079,03","33,99B","0,00%"
"14.01.2026","1.083,61","1.076,63","1.085,14","1.068,35","54,95B","0,57%"
"13.01.2026","1.077,44","1.080,04","1.081,61","1.074,29","48,15B","-0,26%"
"12.01.2026","1.080,28","1.099,15","1.100,92","1.078,59","62,79B","-1,55%"
"09.01.2026","1.097,31","1.095,52","1.099,45","1.095,52","13,43B","0,23%"
"08.01.2026","1.094,80","1.101,91","1.101,91","1.093,23","19,04B","-0,97%"
"06.01.2026","1.105,53","1.113,33","1.114,41","1.103,15","23,08B","-0,43%"
"05.01.2026","1.110,29","1.108,40","1.111,49","1.098,75","24,10B","-0,34%"
"30.12.2025","1.114,13","1.117,77","1.128,84","1.113,05","39,76B","-0,11%"
"29.12.2025","1.115,35","1.121,58","1.143,16","1.114,10","91,19B","-0,15%"
"26.12.2025","1.117,04","1.099,40","1.118,74","1.099,40","54,59B","1,75%"
"25.12.2025","1.097,79","1.092,45","1.097,79","1.087,76","31,87B","0,49%"
"24.12.2025","1.092,43","1.091,90","1.095,72","1.086,33","38,93B","-0,01%"
"23.12.2025","1.092,52","1.078,75","1.093,98","1.074,08","50,58B","1,28%"
"22.12.2025","1.078,73","1.070,90","1.078,92","1.059,04","63,60B","0,77%"
"19.12.2025","1.070,50","1.087,06","1.098,72","1.069,24","99,86B","-1,22%"
"18.12.2025","1.083,69","1.081,89","1.086,72","1.079,03","72,87B","0,20%"
"17.12.2025","1.081,57","1.100,93","1.103,33","1.074,91","59,48B","-1,70%"
"16.12.2025","1.100,27","1.090,35","1.102,45","1.089,11","48,40B","0,94%"
"15.12.2025","1.089,97","1.081,70","1.089,97","1.076,21","42,45B","0,70%"
"12.12.2025","1.082,41","1.092,84","1.099,58","1.079,44","49,29B","-0,83%"
"11.12.2025","1.091,47","1.102,52","1.116,91","1.086,83","64,57B","-0,80%"
"10.12.2025","1.100,22","1.110,37","1.119,93","1.097,20","29,77B","-0,75%"
"09.12.2025","1.108,49","1.101,97","1.112,90","1.095,14","38,32B","0,51%"
"08.12.2025","1.102,82","1.124,09","1.134,23","1.101,42","49,99B","-1,75%"
"05.12.2025","1.122,46","1.088,31","1.125,36","1.087,41","63,73B","3,21%"
"04.12.2025","1.087,50","1.071,68","1.087,69","1.071,68","27,06B","1,49%"
"03.12.2025","1.071,57","1.080,69","1.080,69","1.065,44","38,78B","-1,21%"
"02.12.2025","1.084,68","1.089,08","1.091,60","1.080,74","35,46B","-0,43%"
"01.12.2025","1.089,33","1.077,85","1.091,63","1.072,32","45,87B","1,07%"
"28.11.2025","1.077,78","1.056,40","1.081,59","1.056,13","47,73B","2,13%"
"27.11.2025","1.055,32","1.069,61","1.071,89","1.046,55","48,47B","-1,33%"
"26.11.2025","1.069,54","1.071,52","1.071,52","1.061,57","22,94B","-0,19%"
"25.11.2025","1.071,57","1.063,04","1.075,77","1.053,68","54,44B","1,12%"
"24.11.2025","1.059,72","1.074,31","1.081,51","1.054,76","56,18B","-0,99%"
"21.11.2025","1.070,35","1.033,23","1.074,43","1.033,23","62,10B","4,37%"
"20.11.2025","1.025,58","1.028,36","1.035,66","1.018,71","57,18B","-0,41%"
"19.11.2025","1.029,78","997,55","1.037,65","994,37","112,97B","3,38%"
"18.11.2025","996,14","974,29","999,65","967,70","84,98B","2,18%"
"17.11.2025","974,86","979,99","979,99","971,42","44,59B","-0,60%"
"14.11.2025","980,73","995,78","997,01","976,78","41,63B","-1,34%"
"13.11.2025","994,05","982,92","994,05","979,98","49,24B","1,13%"
"12.11.2025","982,92","994,67","997,71","979,28","49,62B","-1,08%"
"11.11.2025","993,65","994,95","1.001,92","991,90","34,17B","-0,13%"
"10.11.2025","994,92","995,70","1.008,45","991,08","54,99B","-0,04%"
"07.11.2025","995,35","985,82","998,22","983,24","41,25B","1,12%"
"06.11.2025","984,32","989,72","993,40","981,81","28,47B","-0,38%"
"05.11.2025","988,12","1.001,17","1.004,49","985,92","47,54B","-1,32%"
"03.11.2025","1.001,30","988,47","1.004,78","988,47","17,87B","1,51%"
"01.11.2025","986,38","982,61","986,38","980,58","12,29B","0,41%"
"31.10.2025","982,39","1.000,65","1.000,65","981,43","31,95B","-1,84%"
"30.10.2025","1.000,78","1.000,48","1.017,86","999,15","56,07B","0,05%"
"29.10.2025","1.000,24","984,84","1.000,24","984,84","43,31B","1,57%"
"28.10.2025","984,76","986,48","1.003,44","983,06","59,84B","-0,31%"
"27.10.2025","987,84","979,10","989,62","956,25","66,50B","-0,19%"
"24.10.2025","989,72","997,56","1.010,48","980,84","71,14B","-0,68%"
"23.10.2025","996,47","1.006,93","1.006,93","982,34","61,74B","-2,64%"
"22.10.2025","1.023,52","1.023,34","1.037,16","1.020,99","44,65B","0,40%"
"21.10.2025","1.019,41","1.054,60","1.054,60","1.010,12","76,97B","-4,08%"
"20.10.2025","1.062,81","1.058,86","1.072,61","1.058,86","50,21B","0,41%"
"17.10.2025","1.058,51","1.052,09","1.089,37","1.052,09","69,44B","1,90%"
"16.10.2025","1.038,78","1.015,59","1.045,76","1.010,47","68,68B","2,14%"
"15.10.2025","1.017,01","1.000,38","1.017,92","993,56","54,82B","1,57%"
"14.10.2025","1.001,30","1.002,99","1.004,09","985,79","50,23B","-0,25%"
"13.10.2025","1.003,79","1.006,65","1.013,29","989,33","60,67B","-0,06%"
"10.10.2025","1.004,38","1.021,41","1.021,59","996,73","56,92B","-1,62%"
"09.10.2025","1.020,93","988,99","1.023,81","974,04","105,24B","3,13%"
"08.10.2025","989,91","1.025,93","1.029,54","984,44","86,98B","-3,52%"
"07.10.2025","1.026,02","1.003,88","1.026,02","1.000,40","51,11B","2,07%"
"06.10.2025","1.005,22","1.000,79","1.015,55","992,10","70,04B","0,34%"
"03.10.2025","1.001,86","1.024,25","1.030,35","1.001,62","45,15B","-2,12%"
"02.10.2025","1.023,54","1.021,11","1.030,00","1.013,95","47,73B","0,03%"
"01.10.2025","1.023,28","1.024,02","1.027,90","1.006,96","51,41B","-0,05%"
"30.09.2025","1.023,75","1.020,29","1.025,66","1.007,83","59,40B","0,33%"
"29.09.2025","1.020,36","1.026,92","1.034,15","1.019,01","60,63B","-0,65%"
"26.09.2025","1.027,06","1.020,18","1.027,06","1.012,31","45,15B","0,63%"
"25.09.2025","1.020,60","1.022,05","1.027,15","1.017,11","32,47B","-0,09%"
"24.09.2025","1.021,52","1.031,47","1.037,52","1.011,24","57,98B","-2,02%"
"23.09.2025","1.042,63","1.030,41","1.045,26","1.024,86","46,01B","1,45%"
"22.09.2025","1.027,74","1.034,39","1.034,39","1.018,48","71,91B","-0,76%"
"19.09.2025","1.035,64","1.057,81","1.058,37","1.034,64","73,45B","-2,12%"
"18.09.2025","1.058,09","1.067,90","1.069,13","1.053,68","64,53B","-0,93%"
"17.09.2025","1.068,07","1.065,74","1.071,75","1.058,89","50,23B","0,21%"
"16.09.2025","1.065,88","1.065,97","1.073,87","1.053,66","60,69B","0,03%"
"15.09.2025","1.065,54","1.058,83","1.068,86","1.045,73","52,31B","0,51%"
"12.09.2025","1.060,18","1.068,75","1.068,75","1.043,78","87,12B","-0,86%"
"11.09.2025","1.069,43","1.081,06","1.082,17","1.068,47","68,05B","-1,08%"
"10.09.2025","1.081,07","1.110,16","1.111,99","1.080,42","41,62B","-2,70%"
"09.09.2025","1.111,08","1.117,97","1.124,50","1.108,25","47,32B","-0,60%"
"08.09.2025","1.117,78","1.121,21","1.128,36","1.115,66","36,85B","-0,26%"
"05.09.2025","1.120,73","1.114,15","1.125,49","1.114,15","33,60B","0,65%"
"04.09.2025","1.113,54","1.118,57","1.127,82","1.110,01","39,16B","-0,34%"
"03.09.2025","1.117,32","1.112,79","1.123,76","1.112,76","32,61B","0,46%"
"02.09.2025","1.112,18","1.130,79","1.130,79","1.111,17","50,26B","-1,65%"
"01.09.2025","1.130,80","1.138,10","1.147,05","1.130,80","32,08B","-0,55%"
"29.08.2025","1.137,00","1.142,42","1.142,42","1.130,96","66,33B","-0,51%"
"28.08.2025","1.142,79","1.141,29","1.143,11","1.135,81","35,06B","0,23%"
"27.08.2025","1.140,17","1.129,61","1.141,10","1.129,61","45,52B","0,99%"
"26.08.2025","1.128,95","1.127,59","1.138,30","1.125,22","32,55B","0,15%"
"25.08.2025","1.127,29","1.129,05","1.129,05","1.114,95","42,41B","-0,25%"
"22.08.2025","1.130,09","1.131,16","1.139,69","1.125,25","46,75B","-0,16%"
"21.08.2025","1.131,85","1.156,43","1.156,43","1.130,23","71,00B","-2,13%"
"20.08.2025","1.156,50","1.163,93","1.167,32","1.148,78","47,98B","-0,54%"
"19.08.2025","1.162,77","1.165,14","1.177,48","1.161,48","57,80B","0,59%"
"18.08.2025","1.155,99","1.171,23","1.171,23","1.154,66","54,13B","-2,51%"
"15.08.2025","1.185,76","1.176,46","1.190,42","1.176,39","63,54B","0,84%"
"14.08.2025","1.175,86","1.174,81","1.181,39","1.161,03","70,97B","-0,06%"
"13.08.2025","1.176,54","1.174,79","1.178,50","1.167,36","61,38B","0,20%"
"12.08.2025","1.174,23","1.171,90","1.175,44","1.167,42","58,66B","0,18%"
"11.08.2025","1.172,08","1.168,77","1.183,17","1.168,77","83,50B","1,49%"
"08.08.2025","1.154,84","1.143,17","1.155,76","1.139,74","72,58B","1,17%"
"07.08.2025","1.141,45","1.097,16","1.154,12","1.097,16","140,74B","5,10%"
"06.08.2025","1.086,05","1.096,68","1.101,20","1.082,07","51,26B","-0,96%"
"05.08.2025","1.096,54","1.097,15","1.104,13","1.093,16","47,50B","-0,02%"
"04.08.2025","1.096,75","1.070,14","1.097,99","1.069,77","44,02B","2,52%"
"01.08.2025","1.069,82","1.072,03","1.080,96","1.068,64","35,70B","-0,17%"
"31.07.2025","1.071,61","1.050,92","1.071,63","1.044,63","56,40B","2,11%"
"30.07.2025","1.049,46","1.056,96","1.056,96","1.041,64","38,49B","-0,70%"
"29.07.2025","1.056,83","1.082,70","1.092,62","1.055,70","55,42B","-2,24%"
"28.07.2025","1.081,10","1.097,64","1.102,37","1.079,71","85,90B","-1,52%"
"25.07.2025","1.097,84","1.122,27","1.129,28","1.095,88","84,09B","-2,11%"
"24.07.2025","1.121,55","1.140,72","1.140,73","1.121,13","41,48B","-1,70%"
"23.07.2025","1.140,92","1.141,17","1.149,66","1.136,14","53,23B","0,09%"
"22.07.2025","1.139,90","1.133,51","1.141,88","1.126,57","49,40B","0,44%"
"21.07.2025","1.134,88","1.121,46","1.137,36","1.121,46","57,11B","1,32%"
"18.07.2025","1.120,15","1.113,02","1.122,06","1.093,96","100,40B","0,67%"
"17.07.2025","1.112,64","1.123,61","1.126,72","1.111,52","71,69B","-0,85%"
"16.07.2025","1.122,22","1.114,42","1.125,32","1.110,36","62,78B","0,73%"
"15.07.2025","1.114,06","1.099,57","1.115,84","1.099,27","64,55B","2,12%"
"14.07.2025","1.090,96","1.065,51","1.094,34","1.058,24","81,25B","2,09%"
"11.07.2025","1.068,61","1.098,81","1.098,81","1.067,02","81,02B","-3,29%"
"10.07.2025","1.104,94","1.089,46","1.105,58","1.089,46","53,61B","1,69%"
"09.07.2025","1.086,62","1.105,40","1.105,40","1.081,96","64,57B","-2,15%"
"08.07.2025","1.110,51","1.102,34","1.110,75","1.096,01","50,79B","0,68%"
"07.07.2025","1.102,97","1.115,97","1.115,97","1.101,97","46,53B","-1,48%"
